BioSample Accession,BAKTA,size,contigs_orig,MIC
SAMEA8742315,atb.bakta.r0.2.batch.347.tar.xz,4330865,103,0.25
SAMEA7526617,atb.bakta.r0.2.batch.342.tar.xz,4345715,100,0.125
SAMEA7542100,atb.bakta.r0.2.batch.343.tar.xz,4273798,113,0.5
SAMEA7525047,atb.bakta.r0.2.batch.342.tar.xz,4378146,96,0.5
SAMEA8742368,atb.bakta.r0.2.batch.347.tar.xz,4336319,97,0.5
SAMEA104362395,atb.bakta.r0.2.batch.350.tar.xz,4316772,114,0.25
SAMEA7546557,atb.bakta.r0.2.batch.343.tar.xz,3825911,1050,0.25
SAMEA7563629,atb.bakta.r0.2.batch.346.tar.xz,4354967,110,0.25
SAMEA7563557,atb.bakta.r0.2.batch.346.tar.xz,4305305,98,0.25
SAMEA7563517,atb.bakta.r0.2.batch.346.tar.xz,4358536,121,0.25
SAMEA7544694,atb.bakta.r0.2.batch.343.tar.xz,4366118,78,0.25
SAMEA5569673,atb.bakta.r0.2.batch.340.tar.xz,4307939,80,0.5
SAMEA7547453,atb.bakta.r0.2.batch.344.tar.xz,4269144,88,0.25
SAMEA7541561,atb.bakta.r0.2.batch.343.tar.xz,4314193,119,0.25
SAMEA7563243,atb.bakta.r0.2.batch.346.tar.xz,4304926,141,0.5
SAMEA7561061,atb.bakta.r0.2.batch.346.tar.xz,4349024,108,1.0
SAMEA7526518,atb.bakta.r0.2.batch.342.tar.xz,4342453,97,2.0
SAMEA104362326,atb.bakta.r0.2.batch.350.tar.xz,4306393,97,0.5
SAMEA7561134,atb.bakta.r0.2.batch.346.tar.xz,4334124,102,0.25
SAMEA7525226,atb.bakta.r0.2.batch.342.tar.xz,4326857,207,1.0
SAMN05918641,,4384772,44,0.25
SAMEA7563081,atb.bakta.r0.2.batch.346.tar.xz,4336205,93,0.25
SAMEA104362406,atb.bakta.r0.2.batch.350.tar.xz,4245648,101,0.5
SAMEA7563670,atb.bakta.r0.2.batch.346.tar.xz,4297093,116,0.25
SAMEA7525273,atb.bakta.r0.2.batch.342.tar.xz,4347735,128,0.25
SAMEA7563431,atb.bakta.r0.2.batch.346.tar.xz,4336577,126,0.25
SAMEA8718357,atb.bakta.r0.2.batch.347.tar.xz,4258520,195,1.0
SAMEA7526368,atb.bakta.r0.2.batch.342.tar.xz,4376823,94,0.25
SAMEA7525141,atb.bakta.r0.2.batch.342.tar.xz,4375159,131,0.5
SAMEA7526160,atb.bakta.r0.2.batch.342.tar.xz,4344570,80,0.5
SAMEA7525293,atb.bakta.r0.2.batch.342.tar.xz,4345861,138,0.06
SAMEA7525266,atb.bakta.r0.2.batch.342.tar.xz,4364769,112,0.25
SAMEA7524942,atb.bakta.r0.2.batch.342.tar.xz,4358371,113,0.5
SAMEA7546946,atb.bakta.r0.2.batch.344.tar.xz,4343272,109,0.5
SAMN05918665,,4392655,25,0.5
SAMEA7555820,atb.bakta.r0.2.batch.345.tar.xz,4302994,109,0.12
SAMEA7562864,atb.bakta.r0.2.batch.346.tar.xz,4338618,102,0.25
SAMEA7525338,atb.bakta.r0.2.batch.342.tar.xz,4339772,157,0.06
SAMN05916448,,4391005,12,0.5
SAMEA7545844,atb.bakta.r0.2.batch.343.tar.xz,4336705,96,0.25
SAMEA7545832,atb.bakta.r0.2.batch.642_a.tar.xz,4208444,218,0.5
SAMEA7524971,atb.bakta.r0.2.batch.342.tar.xz,4258198,138,0.25
SAMEA8718751,atb.bakta.r0.2.batch.347.tar.xz,4275341,117,0.5
SAMEA104362201,atb.bakta.r0.2.batch.350.tar.xz,3844358,725,0.5
SAMEA7545173,atb.bakta.r0.2.batch.343.tar.xz,4319653,113,0.12
SAMEA7562362,atb.bakta.r0.2.batch.346.tar.xz,4303576,143,0.25
SAMEA7544289,atb.bakta.r0.2.batch.343.tar.xz,4349773,92,0.5
SAMEA8742430,atb.bakta.r0.2.batch.347.tar.xz,4311335,77,0.5
SAMEA7524785,atb.bakta.r0.2.batch.342.tar.xz,4341958,157,0.25
SAMEA7525264,atb.bakta.r0.2.batch.342.tar.xz,4344069,119,0.06
SAMEA7524878,atb.bakta.r0.2.batch.342.tar.xz,4369070,105,1.0
SAMEA8741250,atb.bakta.r0.2.batch.347.tar.xz,4302113,125,0.5
SAMEA1102348,atb.bakta.r0.2.batch.334.tar.xz,4315842,144,0.12
SAMEA8742213,atb.bakta.r0.2.batch.347.tar.xz,4339986,85,0.5
SAMEA7525625,atb.bakta.r0.2.batch.342.tar.xz,4342258,130,0.5
SAMEA7561199,atb.bakta.r0.2.batch.346.tar.xz,4335502,87,0.5
SAMEA7525784,atb.bakta.r0.2.batch.342.tar.xz,4371878,95,0.5
SAMEA8742078,atb.bakta.r0.2.batch.347.tar.xz,4247415,139,0.5
SAMEA7546527,atb.bakta.r0.2.batch.343.tar.xz,3676692,902,0.5
SAMEA1101515,atb.bakta.r0.2.batch.334.tar.xz,4261550,175,0.25
SAMEA1101760,atb.bakta.r0.2.batch.334.tar.xz,4299564,169,0.06
SAMEA5569518,atb.bakta.r0.2.batch.340.tar.xz,4363547,77,0.5
SAMN05916454,,4406522,6,0.25
SAMEA7561817,atb.bakta.r0.2.batch.346.tar.xz,4241225,145,0.25
SAMEA7544691,atb.bakta.r0.2.batch.343.tar.xz,4348991,103,0.5
SAMEA7543988,atb.bakta.r0.2.batch.343.tar.xz,4348148,87,0.25
SAMEA1101593,atb.bakta.r0.2.batch.334.tar.xz,4303784,162,0.5
SAMEA7524786,atb.bakta.r0.2.batch.342.tar.xz,4357631,198,0.5
SAMEA7545912,atb.bakta.r0.2.batch.343.tar.xz,4350689,95,0.25
SAMEA7546690,atb.bakta.r0.2.batch.343.tar.xz,4349584,86,0.12
SAMEA7541600,atb.bakta.r0.2.batch.343.tar.xz,4316645,102,4.0
SAMEA8742609,atb.bakta.r0.2.batch.347.tar.xz,4346722,116,0.5
SAMEA7525138,atb.bakta.r0.2.batch.342.tar.xz,4321406,118,0.06
SAMEA7546410,atb.bakta.r0.2.batch.343.tar.xz,4343796,97,0.25
SAMEA7542095,atb.bakta.r0.2.batch.343.tar.xz,4373636,86,0.25
SAMEA7541441,atb.bakta.r0.2.batch.343.tar.xz,4322699,129,0.5
SAMEA7563405,atb.bakta.r0.2.batch.346.tar.xz,4336013,113,0.5
SAMEA7544016,atb.bakta.r0.2.batch.343.tar.xz,4338700,99,0.5
SAMEA7545550,atb.bakta.r0.2.batch.343.tar.xz,4262440,145,0.5
SAMEA7561622,atb.bakta.r0.2.batch.346.tar.xz,4281522,166,0.25
SAMEA8742627,atb.bakta.r0.2.batch.347.tar.xz,4330735,111,0.5
SAMEA7542151,atb.bakta.r0.2.batch.343.tar.xz,4340862,95,0.5
SAMEA5569512,atb.bakta.r0.2.batch.340.tar.xz,4351766,84,1.0
SAMEA7545698,atb.bakta.r0.2.batch.343.tar.xz,4342816,81,0.5
SAMEA5569999,atb.bakta.r0.2.batch.340.tar.xz,4344911,100,0.5
SAMEA7547370,atb.bakta.r0.2.batch.344.tar.xz,4139511,380,0.25
SAMEA7524968,atb.bakta.r0.2.batch.342.tar.xz,4339631,105,0.25
SAMEA7545630,atb.bakta.r0.2.batch.343.tar.xz,4022025,528,0.5
SAMEA7541599,atb.bakta.r0.2.batch.343.tar.xz,4318372,108,0.5
SAMEA7561822,atb.bakta.r0.2.batch.346.tar.xz,4283697,160,0.25
SAMEA5569582,atb.bakta.r0.2.batch.340.tar.xz,4344480,81,0.5
SAMEA7526150,atb.bakta.r0.2.batch.342.tar.xz,4378388,80,0.125
SAMEA7542218,atb.bakta.r0.2.batch.343.tar.xz,4301501,118,0.5
SAMEA7525269,atb.bakta.r0.2.batch.342.tar.xz,4369282,104,0.25
SAMEA7526055,atb.bakta.r0.2.batch.342.tar.xz,4328859,118,0.06
SAMEA8742135,atb.bakta.r0.2.batch.347.tar.xz,4277537,113,1.0
SAMEA5569646,atb.bakta.r0.2.batch.340.tar.xz,4310032,120,0.5
SAMEA7563110,atb.bakta.r0.2.batch.346.tar.xz,4320794,136,0.5
SAMEA8741206,atb.bakta.r0.2.batch.347.tar.xz,4298658,134,0.5
SAMEA7526906,atb.bakta.r0.2.batch.342.tar.xz,4318677,78,0.06
SAMEA5569922,atb.bakta.r0.2.batch.340.tar.xz,4354917,82,1.0
SAMEA7545170,atb.bakta.r0.2.batch.343.tar.xz,4256902,88,0.5
SAMEA7546943,atb.bakta.r0.2.batch.344.tar.xz,4312634,98,0.25
SAMEA7555903,atb.bakta.r0.2.batch.345.tar.xz,4346101,103,0.5
SAMEA7563394,atb.bakta.r0.2.batch.346.tar.xz,4336991,120,0.25
SAMEA7525729,atb.bakta.r0.2.batch.342.tar.xz,4319809,130,0.5
SAMEA104362440,atb.bakta.r0.2.batch.350.tar.xz,3918264,662,0.5
SAMEA5570000,atb.bakta.r0.2.batch.340.tar.xz,4355390,82,1.0
SAMEA7563417,atb.bakta.r0.2.batch.346.tar.xz,4338276,116,0.25
SAMEA7525693,atb.bakta.r0.2.batch.342.tar.xz,4345803,120,0.25
SAMEA1101787,atb.bakta.r0.2.batch.334.tar.xz,4309284,141,0.5
