Genome ID,NCBI Taxon ID,Species,BioSample Accession,Contigs,Size,MIC
1773.31555,1773,Mycobacterium tuberculosis,SAMEA1101616,139,4325519,0.50
1773.31556,1773,Mycobacterium tuberculosis,SAMEA1101617,142,4308853,0.50
1773.31557,1773,Mycobacterium tuberculosis,SAMEA1101619,135,4289886,0.25
1773.31559,1773,Mycobacterium tuberculosis,SAMEA1101623,122,4291261,0.12
1773.31560,1773,Mycobacterium tuberculosis,SAMEA1101625,125,4313829,0.25
1773.31563,1773,Mycobacterium tuberculosis,SAMEA1101627,116,4322689,0.12
1773.31566,1773,Mycobacterium tuberculosis,SAMEA1101630,122,4325388,0.25
1773.31561,1773,Mycobacterium tuberculosis,SAMEA1101632,145,4274854,0.25
1773.31562,1773,Mycobacterium tuberculosis,SAMEA1101634,121,4337544,0.25
1773.43316,1773,Mycobacterium tuberculosis,SAMEA1101659,186,4301314,0.12
1773.31617,1773,Mycobacterium tuberculosis,SAMEA1101665,133,4315632,0.25
1773.31571,1773,Mycobacterium tuberculosis,SAMEA1101672,146,4320272,0.50
1773.31574,1773,Mycobacterium tuberculosis,SAMEA1101673,150,4301100,0.25
1773.31572,1773,Mycobacterium tuberculosis,SAMEA1101674,145,4324953,0.25
1773.31575,1773,Mycobacterium tuberculosis,SAMEA1101675,161,4296408,0.25
1773.31573,1773,Mycobacterium tuberculosis,SAMEA1101678,136,4335299,0.50
1773.43319,1773,Mycobacterium tuberculosis,SAMEA1101681,146,4238735,0.25
1773.31578,1773,Mycobacterium tuberculosis,SAMEA1101685,149,4288792,0.50
1773.31579,1773,Mycobacterium tuberculosis,SAMEA1101686,125,4332044,0.50
1773.31581,1773,Mycobacterium tuberculosis,SAMEA1101689,151,4294597,0.50
1773.31582,1773,Mycobacterium tuberculosis,SAMEA1101691,132,4315578,0.50
1773.31588,1773,Mycobacterium tuberculosis,SAMEA1101692,162,4266951,0.50
1773.31587,1773,Mycobacterium tuberculosis,SAMEA1101693,198,4252058,0.25
1773.31585,1773,Mycobacterium tuberculosis,SAMEA1101695,153,4292916,0.12
1773.31584,1773,Mycobacterium tuberculosis,SAMEA1101696,164,4289074,0.50
1773.31589,1773,Mycobacterium tuberculosis,SAMEA1101697,118,4263967,0.25
1773.31592,1773,Mycobacterium tuberculosis,SAMEA1101701,136,4297261,0.25
1773.31593,1773,Mycobacterium tuberculosis,SAMEA1101702,200,4251044,0.50
1773.31594,1773,Mycobacterium tuberculosis,SAMEA1101705,188,4293330,0.25
1773.43321,1773,Mycobacterium tuberculosis,SAMEA1101707,157,4285339,0.25
1773.43318,1773,Mycobacterium tuberculosis,SAMEA1101708,163,4279348,0.25
1773.31597,1773,Mycobacterium tuberculosis,SAMEA1101712,128,4318746,1.00
1773.31599,1773,Mycobacterium tuberculosis,SAMEA1101713,161,4308100,0.25
1773.31604,1773,Mycobacterium tuberculosis,SAMEA1101718,188,4210779,0.12
1773.31603,1773,Mycobacterium tuberculosis,SAMEA1101723,163,4314283,0.50
1773.31606,1773,Mycobacterium tuberculosis,SAMEA1101726,149,4314956,0.12
1773.31607,1773,Mycobacterium tuberculosis,SAMEA1101729,162,4292740,0.25
1773.31609,1773,Mycobacterium tuberculosis,SAMEA1101732,143,4316059,0.50
1773.31611,1773,Mycobacterium tuberculosis,SAMEA1101733,145,4327822,0.50
1773.31613,1773,Mycobacterium tuberculosis,SAMEA1101736,148,4311264,0.12
1773.31616,1773,Mycobacterium tuberculosis,SAMEA1101742,151,4316265,0.50
1773.31614,1773,Mycobacterium tuberculosis,SAMEA1101743,157,4330995,0.12
1773.31618,1773,Mycobacterium tuberculosis,SAMEA1101746,144,4340131,2.00
1773.31621,1773,Mycobacterium tuberculosis,SAMEA1101749,147,4313381,0.12
1773.31623,1773,Mycobacterium tuberculosis,SAMEA1101752,127,4340269,0.25
1773.31624,1773,Mycobacterium tuberculosis,SAMEA1101754,145,4324791,0.25
1773.31673,1773,Mycobacterium tuberculosis,SAMEA1101755,187,4265689,0.12
1773.31625,1773,Mycobacterium tuberculosis,SAMEA1101756,181,4302609,0.25
1773.31622,1773,Mycobacterium tuberculosis,SAMEA1101760,169,4299564,0.06
1773.31633,1773,Mycobacterium tuberculosis,SAMEA1101768,189,4285564,0.12
1773.31632,1773,Mycobacterium tuberculosis,SAMEA1101771,167,4284259,0.12
1773.31631,1773,Mycobacterium tuberculosis,SAMEA1101772,139,4319711,0.50
1773.31636,1773,Mycobacterium tuberculosis,SAMEA1101773,164,4294279,0.25
1773.31639,1773,Mycobacterium tuberculosis,SAMEA1101776,170,4294025,0.06
1773.31637,1773,Mycobacterium tuberculosis,SAMEA1101777,119,4307347,0.25
1773.31642,1773,Mycobacterium tuberculosis,SAMEA1101780,148,4322688,0.50
1773.31643,1773,Mycobacterium tuberculosis,SAMEA1101784,185,4248157,0.25
1773.31644,1773,Mycobacterium tuberculosis,SAMEA1101785,130,4343484,0.50
1773.31648,1773,Mycobacterium tuberculosis,SAMEA1101787,141,4309284,0.50
1773.31646,1773,Mycobacterium tuberculosis,SAMEA1101788,144,4305214,0.50
1773.31649,1773,Mycobacterium tuberculosis,SAMEA1101790,134,4306048,0.25
1773.31654,1773,Mycobacterium tuberculosis,SAMEA1101791,151,4276470,0.25
1773.31651,1773,Mycobacterium tuberculosis,SAMEA1101792,123,4332861,0.25
1773.31650,1773,Mycobacterium tuberculosis,SAMEA1101793,164,4285221,0.12
1773.31656,1773,Mycobacterium tuberculosis,SAMEA1101795,166,4282013,0.50
1773.31652,1773,Mycobacterium tuberculosis,SAMEA1101797,159,4319200,0.25
1773.31653,1773,Mycobacterium tuberculosis,SAMEA1101798,167,4284011,0.50
1773.31655,1773,Mycobacterium tuberculosis,SAMEA1101800,130,4332257,0.50
1773.31658,1773,Mycobacterium tuberculosis,SAMEA1101807,175,4303098,0.50
1773.31659,1773,Mycobacterium tuberculosis,SAMEA1101808,169,4313791,0.50
1773.31657,1773,Mycobacterium tuberculosis,SAMEA1101809,168,4272863,0.12
1773.31661,1773,Mycobacterium tuberculosis,SAMEA1101813,149,4303983,0.50
1773.31660,1773,Mycobacterium tuberculosis,SAMEA1101814,134,4317526,0.50
1773.31663,1773,Mycobacterium tuberculosis,SAMEA1101816,123,4321519,0.50
1773.31664,1773,Mycobacterium tuberculosis,SAMEA1101817,143,4303705,0.25
1773.31662,1773,Mycobacterium tuberculosis,SAMEA1101818,118,4331093,0.06
1773.31665,1773,Mycobacterium tuberculosis,SAMEA1101834,136,4323049,0.12
1773.31666,1773,Mycobacterium tuberculosis,SAMEA1101835,126,4312250,0.50
1773.31669,1773,Mycobacterium tuberculosis,SAMEA1101837,169,4264229,0.50
1773.31671,1773,Mycobacterium tuberculosis,SAMEA1101839,146,4295349,0.25
1773.31689,1773,Mycobacterium tuberculosis,SAMEA1101877,158,4297777,0.50
1773.31667,1773,Mycobacterium tuberculosis,SAMEA1101878,159,4328604,0.25
1773.31674,1773,Mycobacterium tuberculosis,SAMEA1101880,129,4289468,0.06
1773.31675,1773,Mycobacterium tuberculosis,SAMEA1101882,149,4311455,0.50
1773.31678,1773,Mycobacterium tuberculosis,SAMEA1101885,136,4329817,0.50
1773.31679,1773,Mycobacterium tuberculosis,SAMEA1101886,160,4282997,0.50
1773.31688,1773,Mycobacterium tuberculosis,SAMEA1101895,159,4299881,0.50
1773.31684,1773,Mycobacterium tuberculosis,SAMEA1101907,146,4296253,0.12
1773.31739,1773,Mycobacterium tuberculosis,SAMEA1102054,166,4293970,0.50
1773.31686,1773,Mycobacterium tuberculosis,SAMEA1102186,202,4259642,0.25
1773.31682,1773,Mycobacterium tuberculosis,SAMEA1102215,184,4238198,0.50
1773.31691,1773,Mycobacterium tuberculosis,SAMEA1102216,197,4261558,0.12
1773.31690,1773,Mycobacterium tuberculosis,SAMEA1102222,130,4281617,0.50
1773.31693,1773,Mycobacterium tuberculosis,SAMEA1102225,118,4347720,0.50
1773.31695,1773,Mycobacterium tuberculosis,SAMEA1102232,159,4268272,0.50
1773.31694,1773,Mycobacterium tuberculosis,SAMEA1102235,151,4314875,0.25
1773.31780,1773,Mycobacterium tuberculosis,SAMEA1102239,143,4276295,0.12
1773.31698,1773,Mycobacterium tuberculosis,SAMEA1102248,137,4314230,0.25
1773.31699,1773,Mycobacterium tuberculosis,SAMEA1102249,115,4306364,0.12
1773.31701,1773,Mycobacterium tuberculosis,SAMEA1102253,131,4319886,0.25
1773.31700,1773,Mycobacterium tuberculosis,SAMEA1102254,165,4274284,0.50
1773.31703,1773,Mycobacterium tuberculosis,SAMEA1102255,145,4295708,0.50
1773.31704,1773,Mycobacterium tuberculosis,SAMEA1102262,163,4272924,0.06
1773.31706,1773,Mycobacterium tuberculosis,SAMEA1102264,157,4323522,0.25
1773.31708,1773,Mycobacterium tuberculosis,SAMEA1102266,150,4315513,0.25
1773.31709,1773,Mycobacterium tuberculosis,SAMEA1102267,142,4306793,0.50
1773.31710,1773,Mycobacterium tuberculosis,SAMEA1102282,167,4290356,0.25
1773.31713,1773,Mycobacterium tuberculosis,SAMEA1102285,122,4311006,0.50
1773.31712,1773,Mycobacterium tuberculosis,SAMEA1102288,156,4307749,0.50
1773.31714,1773,Mycobacterium tuberculosis,SAMEA1102289,164,4274289,0.25
1773.31711,1773,Mycobacterium tuberculosis,SAMEA1102290,180,4262725,0.50
1773.31717,1773,Mycobacterium tuberculosis,SAMEA1102293,154,4285369,0.06
1773.31719,1773,Mycobacterium tuberculosis,SAMEA1102302,128,4316988,0.25
1773.31720,1773,Mycobacterium tuberculosis,SAMEA1102304,119,4325460,0.50
1773.31722,1773,Mycobacterium tuberculosis,SAMEA1102306,151,4233820,0.50
1773.31725,1773,Mycobacterium tuberculosis,SAMEA1102309,129,4266264,0.25
1773.31727,1773,Mycobacterium tuberculosis,SAMEA1102312,165,4311047,0.25
1773.31726,1773,Mycobacterium tuberculosis,SAMEA1102313,133,4318125,0.25
1773.31729,1773,Mycobacterium tuberculosis,SAMEA1102315,134,4280834,0.12
1773.31728,1773,Mycobacterium tuberculosis,SAMEA1102316,128,4282783,0.50
1773.31732,1773,Mycobacterium tuberculosis,SAMEA1102319,132,4324412,0.25
1773.31733,1773,Mycobacterium tuberculosis,SAMEA1102320,138,4284846,0.25
1773.31736,1773,Mycobacterium tuberculosis,SAMEA1102325,129,4321639,0.50
1773.31735,1773,Mycobacterium tuberculosis,SAMEA1102326,108,4327115,0.25
1773.31737,1773,Mycobacterium tuberculosis,SAMEA1102329,123,4305431,0.12
1773.31742,1773,Mycobacterium tuberculosis,SAMEA1102335,149,4282659,0.12
1773.31746,1773,Mycobacterium tuberculosis,SAMEA1102338,144,4324176,0.25
1773.31748,1773,Mycobacterium tuberculosis,SAMEA1102343,135,4298318,0.25
1773.31750,1773,Mycobacterium tuberculosis,SAMEA1102345,127,4274147,0.25
1773.31749,1773,Mycobacterium tuberculosis,SAMEA1102346,137,4305062,0.25
1773.31753,1773,Mycobacterium tuberculosis,SAMEA1102347,153,4300627,0.50
1773.31752,1773,Mycobacterium tuberculosis,SAMEA1102348,144,4315842,0.12
1773.31751,1773,Mycobacterium tuberculosis,SAMEA1102349,154,4300223,0.25
1773.31754,1773,Mycobacterium tuberculosis,SAMEA1102351,157,4320187,0.25
1773.31755,1773,Mycobacterium tuberculosis,SAMEA1102353,168,4265058,0.25
1773.31757,1773,Mycobacterium tuberculosis,SAMEA1102354,135,4321501,0.12
1773.31758,1773,Mycobacterium tuberculosis,SAMEA1102574,138,4303524,0.25
1773.31756,1773,Mycobacterium tuberculosis,SAMEA1102577,142,4310592,0.12
1773.31765,1773,Mycobacterium tuberculosis,SAMEA1102647,137,4305487,0.25
1773.31760,1773,Mycobacterium tuberculosis,SAMEA1103134,147,4315764,0.25
1773.31759,1773,Mycobacterium tuberculosis,SAMEA1103144,133,4298979,0.25
1773.31763,1773,Mycobacterium tuberculosis,SAMEA1103145,144,4286623,0.50
1773.31764,1773,Mycobacterium tuberculosis,SAMEA1103147,128,4345731,4.00
1773.32292,1773,Mycobacterium tuberculosis,SAMEA7524714,85,4348658,0.25
1773.32299,1773,Mycobacterium tuberculosis,SAMEA7524715,78,4348107,0.25
1773.32300,1773,Mycobacterium tuberculosis,SAMEA7524716,188,4269465,0.5
1773.32296,1773,Mycobacterium tuberculosis,SAMEA7524717,132,4311787,0.125
1773.32301,1773,Mycobacterium tuberculosis,SAMEA7524718,115,4365465,0.25
1773.32298,1773,Mycobacterium tuberculosis,SAMEA7524719,94,4344041,0.5
1773.32302,1773,Mycobacterium tuberculosis,SAMEA7524722,107,4342141,0.5
1773.32297,1773,Mycobacterium tuberculosis,SAMEA7524723,141,4355247,0.5
1773.32304,1773,Mycobacterium tuberculosis,SAMEA7524724,85,4384902,0.5
1773.32303,1773,Mycobacterium tuberculosis,SAMEA7524725,102,4345283,0.50
1773.32305,1773,Mycobacterium tuberculosis,SAMEA7524726,109,4358517,0.25
1773.32308,1773,Mycobacterium tuberculosis,SAMEA7524727,404,4306263,0.25
1773.32309,1773,Mycobacterium tuberculosis,SAMEA7524728,111,4347653,0.5
1773.32306,1773,Mycobacterium tuberculosis,SAMEA7524729,103,4364536,1.00
1773.32307,1773,Mycobacterium tuberculosis,SAMEA7524730,104,4343123,0.5
1773.32310,1773,Mycobacterium tuberculosis,SAMEA7524733,102,4382087,0.5
1773.32311,1773,Mycobacterium tuberculosis,SAMEA7524734,93,4364818,0.50
1773.32312,1773,Mycobacterium tuberculosis,SAMEA7524736,101,4378995,0.25
1773.32313,1773,Mycobacterium tuberculosis,SAMEA7524737,108,4345079,0.50
1773.32314,1773,Mycobacterium tuberculosis,SAMEA7524739,83,4354050,0.50
1773.32315,1773,Mycobacterium tuberculosis,SAMEA7524740,100,4344317,0.25
1773.32316,1773,Mycobacterium tuberculosis,SAMEA7524741,99,4330367,0.5
1773.32317,1773,Mycobacterium tuberculosis,SAMEA7524742,95,4371626,0.25
1773.32319,1773,Mycobacterium tuberculosis,SAMEA7524745,100,4364104,0.5
1773.32321,1773,Mycobacterium tuberculosis,SAMEA7524747,95,4345440,0.50
1773.32320,1773,Mycobacterium tuberculosis,SAMEA7524749,92,4350213,0.5
1773.32318,1773,Mycobacterium tuberculosis,SAMEA7524750,111,4367625,0.50
1773.32323,1773,Mycobacterium tuberculosis,SAMEA7524751,132,4354987,0.25
1773.32324,1773,Mycobacterium tuberculosis,SAMEA7524752,89,4360403,0.5
1773.32322,1773,Mycobacterium tuberculosis,SAMEA7524753,103,4362930,0.5
1773.32327,1773,Mycobacterium tuberculosis,SAMEA7524754,87,4364574,0.5
1773.32325,1773,Mycobacterium tuberculosis,SAMEA7524755,93,4371145,0.25
1773.32328,1773,Mycobacterium tuberculosis,SAMEA7524757,99,4383536,0.25
1773.32326,1773,Mycobacterium tuberculosis,SAMEA7524758,94,4383605,1.00
1773.32329,1773,Mycobacterium tuberculosis,SAMEA7524759,99,4361885,0.125
1773.32330,1773,Mycobacterium tuberculosis,SAMEA7524761,77,4366605,0.5
1773.32331,1773,Mycobacterium tuberculosis,SAMEA7524762,107,4349534,0.5
1773.32334,1773,Mycobacterium tuberculosis,SAMEA7524763,96,4359040,0.125
1773.32332,1773,Mycobacterium tuberculosis,SAMEA7524764,98,4370899,0.50
1773.32333,1773,Mycobacterium tuberculosis,SAMEA7524765,86,4382286,0.50
1773.32335,1773,Mycobacterium tuberculosis,SAMEA7524766,92,4371602,0.5
1773.32336,1773,Mycobacterium tuberculosis,SAMEA7524768,79,4331877,0.50
1773.32337,1773,Mycobacterium tuberculosis,SAMEA7524769,100,4343990,0.5
1773.32338,1773,Mycobacterium tuberculosis,SAMEA7524770,101,4372247,0.5
1773.32339,1773,Mycobacterium tuberculosis,SAMEA7524772,112,4374584,0.125
1773.32340,1773,Mycobacterium tuberculosis,SAMEA7524773,84,4381633,1
1773.32341,1773,Mycobacterium tuberculosis,SAMEA7524774,89,4351593,0.25
1773.32352,1773,Mycobacterium tuberculosis,SAMEA7524775,103,4372031,0.25
1773.32343,1773,Mycobacterium tuberculosis,SAMEA7524779,115,4370663,0.25
1773.32351,1773,Mycobacterium tuberculosis,SAMEA7524780,116,4348165,0.50
1773.32350,1773,Mycobacterium tuberculosis,SAMEA7524781,105,4367977,0.50
1773.32353,1773,Mycobacterium tuberculosis,SAMEA7524782,122,4344586,0.5
1773.32354,1773,Mycobacterium tuberculosis,SAMEA7524783,100,4378098,0.25
1773.32406,1773,Mycobacterium tuberculosis,SAMEA7524784,111,4345298,0.25
1773.32356,1773,Mycobacterium tuberculosis,SAMEA7524785,157,4341958,0.25
1773.32355,1773,Mycobacterium tuberculosis,SAMEA7524786,198,4357631,0.50
1773.32405,1773,Mycobacterium tuberculosis,SAMEA7524787,141,4343678,0.5
1773.32347,1773,Mycobacterium tuberculosis,SAMEA7524788,138,4363583,0.25
1773.32342,1773,Mycobacterium tuberculosis,SAMEA7524789,119,4365018,0.25
1773.32349,1773,Mycobacterium tuberculosis,SAMEA7524790,147,4357235,0.25
1773.32348,1773,Mycobacterium tuberculosis,SAMEA7524791,128,4346186,0.5
1773.32344,1773,Mycobacterium tuberculosis,SAMEA7524792,113,4361712,0.50
1773.32346,1773,Mycobacterium tuberculosis,SAMEA7524793,125,4345936,0.50
1773.32345,1773,Mycobacterium tuberculosis,SAMEA7524794,131,4358732,0.03
1773.32359,1773,Mycobacterium tuberculosis,SAMEA7524796,107,4339655,1
1773.32360,1773,Mycobacterium tuberculosis,SAMEA7524797,268,4321853,0.50
1773.32358,1773,Mycobacterium tuberculosis,SAMEA7524799,90,4348264,4.00
1773.32357,1773,Mycobacterium tuberculosis,SAMEA7524800,110,4374981,0.50
1773.32361,1773,Mycobacterium tuberculosis,SAMEA7524801,92,4357667,0.50
1773.32362,1773,Mycobacterium tuberculosis,SAMEA7524806,111,4303135,0.50
1773.32365,1773,Mycobacterium tuberculosis,SAMEA7524808,75,4340500,0.50
1773.32364,1773,Mycobacterium tuberculosis,SAMEA7524809,92,4348355,0.5
1773.32366,1773,Mycobacterium tuberculosis,SAMEA7524810,98,4377194,1.00
1773.32363,1773,Mycobacterium tuberculosis,SAMEA7524811,101,4335327,0.50
1773.32367,1773,Mycobacterium tuberculosis,SAMEA7524813,98,4385962,0.50
1773.32368,1773,Mycobacterium tuberculosis,SAMEA7524816,248,4310679,2
1773.32369,1773,Mycobacterium tuberculosis,SAMEA7524817,103,4345257,0.5
1773.32370,1773,Mycobacterium tuberculosis,SAMEA7524818,102,4384244,0.5
1773.32371,1773,Mycobacterium tuberculosis,SAMEA7524819,96,4364975,0.50
1773.32372,1773,Mycobacterium tuberculosis,SAMEA7524821,98,4368636,0.50
1773.32373,1773,Mycobacterium tuberculosis,SAMEA7524822,117,4374470,1
1773.32374,1773,Mycobacterium tuberculosis,SAMEA7524825,90,4331141,0.50
1773.32375,1773,Mycobacterium tuberculosis,SAMEA7524826,98,4373785,0.25
1773.32377,1773,Mycobacterium tuberculosis,SAMEA7524828,125,4344208,0.50
1773.32376,1773,Mycobacterium tuberculosis,SAMEA7524832,197,4370210,0.5
1773.32378,1773,Mycobacterium tuberculosis,SAMEA7524836,111,4367460,0.50
1773.32379,1773,Mycobacterium tuberculosis,SAMEA7524837,86,4376309,0.5
1773.32380,1773,Mycobacterium tuberculosis,SAMEA7524838,116,4340163,0.25
1773.32381,1773,Mycobacterium tuberculosis,SAMEA7524840,101,4347785,0.25
1773.32382,1773,Mycobacterium tuberculosis,SAMEA7524841,97,4347381,0.5
1773.32384,1773,Mycobacterium tuberculosis,SAMEA7524842,81,4381739,1.00
1773.32383,1773,Mycobacterium tuberculosis,SAMEA7524843,106,4334979,0.25
1773.32386,1773,Mycobacterium tuberculosis,SAMEA7524845,123,4341350,0.125
1773.32385,1773,Mycobacterium tuberculosis,SAMEA7524846,102,4345558,0.5
1773.32387,1773,Mycobacterium tuberculosis,SAMEA7524847,111,4367668,0.5
1773.32388,1773,Mycobacterium tuberculosis,SAMEA7524848,99,4360773,0.5
1773.32389,1773,Mycobacterium tuberculosis,SAMEA7524851,111,4334378,0.5
1773.32390,1773,Mycobacterium tuberculosis,SAMEA7524852,103,4362537,0.50
1773.32391,1773,Mycobacterium tuberculosis,SAMEA7524854,111,4338921,0.5
1773.32397,1773,Mycobacterium tuberculosis,SAMEA7524855,95,4344831,0.125
1773.32396,1773,Mycobacterium tuberculosis,SAMEA7524856,83,4379275,0.50
1773.32393,1773,Mycobacterium tuberculosis,SAMEA7524857,119,4364580,0.5
1773.32392,1773,Mycobacterium tuberculosis,SAMEA7524859,91,4374264,1
1773.32394,1773,Mycobacterium tuberculosis,SAMEA7524860,98,4345674,2
1773.32395,1773,Mycobacterium tuberculosis,SAMEA7524864,98,4343279,1
1773.32399,1773,Mycobacterium tuberculosis,SAMEA7524865,115,4368977,1
1773.32400,1773,Mycobacterium tuberculosis,SAMEA7524867,80,4384405,0.50
1773.32398,1773,Mycobacterium tuberculosis,SAMEA7524868,103,4347570,0.25
1773.32403,1773,Mycobacterium tuberculosis,SAMEA7524869,87,4344042,0.5
1773.32402,1773,Mycobacterium tuberculosis,SAMEA7524871,97,4342699,0.25
1773.32401,1773,Mycobacterium tuberculosis,SAMEA7524872,121,4341059,0.25
1773.32404,1773,Mycobacterium tuberculosis,SAMEA7524873,111,4372872,0.25
1773.32407,1773,Mycobacterium tuberculosis,SAMEA7524876,96,4343803,0.50
1773.32414,1773,Mycobacterium tuberculosis,SAMEA7524881,95,4343469,0.25
1773.32413,1773,Mycobacterium tuberculosis,SAMEA7524882,144,4359678,0.50
1773.32411,1773,Mycobacterium tuberculosis,SAMEA7524883,101,4347873,0.5
1773.32412,1773,Mycobacterium tuberculosis,SAMEA7524884,92,4373013,0.25
1773.32408,1773,Mycobacterium tuberculosis,SAMEA7524889,139,4352509,0.25
1773.32410,1773,Mycobacterium tuberculosis,SAMEA7524890,108,4349794,0.5
1773.32409,1773,Mycobacterium tuberculosis,SAMEA7524892,107,4365300,0.125
1773.32415,1773,Mycobacterium tuberculosis,SAMEA7524895,76,4365471,0.5
1773.32416,1773,Mycobacterium tuberculosis,SAMEA7524897,95,4345038,0.5
1773.32419,1773,Mycobacterium tuberculosis,SAMEA7524898,105,4345885,0.25
1773.32417,1773,Mycobacterium tuberculosis,SAMEA7524900,90,4345565,0.50
1773.32418,1773,Mycobacterium tuberculosis,SAMEA7524901,78,4358692,0.50
1773.32421,1773,Mycobacterium tuberculosis,SAMEA7524903,98,4347038,2
1773.32420,1773,Mycobacterium tuberculosis,SAMEA7524906,91,4311613,1
1773.32422,1773,Mycobacterium tuberculosis,SAMEA7524908,104,4365709,1
1773.32423,1773,Mycobacterium tuberculosis,SAMEA7524909,108,4367428,0.50
1773.32427,1773,Mycobacterium tuberculosis,SAMEA7524911,124,4368954,1
1773.32426,1773,Mycobacterium tuberculosis,SAMEA7524916,102,4346379,0.5
1773.32425,1773,Mycobacterium tuberculosis,SAMEA7524918,91,4361393,0.50
1773.32424,1773,Mycobacterium tuberculosis,SAMEA7524920,111,4388209,0.50
1773.32428,1773,Mycobacterium tuberculosis,SAMEA7524923,141,4370469,0.5
1773.32429,1773,Mycobacterium tuberculosis,SAMEA7524927,115,4344967,0.25
1773.32430,1773,Mycobacterium tuberculosis,SAMEA7524929,151,4363282,0.5
1773.32435,1773,Mycobacterium tuberculosis,SAMEA7524930,226,4308575,1
1773.32434,1773,Mycobacterium tuberculosis,SAMEA7524932,110,4366474,1
1773.32431,1773,Mycobacterium tuberculosis,SAMEA7524933,91,4377988,0.25
1773.32432,1773,Mycobacterium tuberculosis,SAMEA7524935,101,4346034,0.5
1773.32433,1773,Mycobacterium tuberculosis,SAMEA7524936,110,4351394,0.50
1773.32437,1773,Mycobacterium tuberculosis,SAMEA7524939,101,4349280,0.25
1773.32436,1773,Mycobacterium tuberculosis,SAMEA7524940,101,4367377,0.25
1773.32438,1773,Mycobacterium tuberculosis,SAMEA7524942,113,4358371,0.5
1773.32439,1773,Mycobacterium tuberculosis,SAMEA7524943,106,4345642,0.25
1773.32440,1773,Mycobacterium tuberculosis,SAMEA7524944,101,4346876,4.00
1773.32441,1773,Mycobacterium tuberculosis,SAMEA7524945,108,4381556,0.5
